Subject,Body,manual_label
Calendar conflict,"Let's aim for a quick touch base before the end of day. Just 15 minutes to align.

Thoughts?",Meeting / Scheduling
Meeting moved,"Just confirming that our regular meeting is still happening on Friday. Please check your availability.

Thanks!",Meeting / Scheduling
Follow-up: Tuesday meeting,"Circling back to see if Wednesday 2pm still works for the new product roadmap discussion.

Thanks!",Meeting / Scheduling
Team alignment discussion,"Due to scheduling conflicts, we'll need to shift tomorrow's call to later in the afternoon. I've proposed a few times on the calendar.

Thoughts?",Meeting / Scheduling
Meeting moved,"Let's aim for a quick touch base before the end of day. Just 15 minutes to align.

Thanks!",Meeting / Scheduling
Meeting moved,"Attaching a revised calendar invite for next week's meeting with legal and finance.

Thanks!",Meeting / Scheduling
Follow-up: Tuesday meeting,"Circling back to see if Wednesday 2pm still works for the new product roadmap discussion.

Let me know if that works.",Meeting / Scheduling
Team alignment discussion,"Due to scheduling conflicts, we'll need to shift tomorrow's call to later in the afternoon. I've proposed a few times on the calendar.",Meeting / Scheduling
Rescheduling this week's sync,"Just confirming that our regular meeting is still happening on Friday. Please check your availability.

Thanks!",Meeting / Scheduling
Calendar conflict,"Due to scheduling conflicts, we'll need to shift tomorrow's call to later in the afternoon. I've proposed a few times on the calendar.

Talk soon.",Meeting / Scheduling
Meeting moved,Just confirming that our regular meeting is still happening on Friday. Please check your availability.,Meeting / Scheduling
Team alignment discussion,"Attaching a revised calendar invite for next week's meeting with legal and finance.

Thanks!",Meeting / Scheduling
Follow-up: Tuesday meeting,Just confirming that our regular meeting is still happening on Friday. Please check your availability.,Meeting / Scheduling
Follow-up: Tuesday meeting,Attaching a revised calendar invite for next week's meeting with legal and finance.,Meeting / Scheduling
Calendar conflict,"Attaching a revised calendar invite for next week's meeting with legal and finance.

Talk soon.",Meeting / Scheduling
Calendar conflict,"Due to scheduling conflicts, we'll need to shift tomorrow's call to later in the afternoon. I've proposed a few times on the calendar.

Let me know if that works.",Meeting / Scheduling
Team alignment discussion,"Due to scheduling conflicts, we'll need to shift tomorrow's call to later in the afternoon. I've proposed a few times on the calendar.

Thanks!",Meeting / Scheduling
Team alignment discussion,"Circling back to see if Wednesday 2pm still works for the new product roadmap discussion.

Thoughts?",Meeting / Scheduling
Rescheduling this week's sync,Let's aim for a quick touch base before the end of day. Just 15 minutes to align.,Meeting / Scheduling
Follow-up: Tuesday meeting,"Just confirming that our regular meeting is still happening on Friday. Please check your availability.

Thanks!",Meeting / Scheduling
Follow-up: Tuesday meeting,"Attaching a revised calendar invite for next week's meeting with legal and finance.

Let me know if that works.",Meeting / Scheduling
Rescheduling this week's sync,Attaching a revised calendar invite for next week's meeting with legal and finance.,Meeting / Scheduling
Meeting moved,"Due to scheduling conflicts, we'll need to shift tomorrow's call to later in the afternoon. I've proposed a few times on the calendar.

Talk soon.",Meeting / Scheduling
Follow-up: Tuesday meeting,"Just confirming that our regular meeting is still happening on Friday. Please check your availability.

Talk soon.",Meeting / Scheduling
Invoice processing,"The attached sheet summarizes vendor payments made under project BLUE from June through September.

Let me know if that works.",Finance / Budget
Invoice processing,"There's a discrepancy between the approved budget and what's been submitted' can you double check line 7?

Let me know if that works.",Finance / Budget
Final numbers attached,The attached sheet summarizes vendor payments made under project BLUE from June through September.,Finance / Budget
Cost center alignment,"The attached sheet summarizes vendor payments made under project BLUE from June through September.

Let me know if that works.",Finance / Budget
Budget discussion needed,"Please route any finance-related questions through our shared inbox to streamline processing.

Talk soon.",Finance / Budget
Finance clarification,"Please route any finance-related questions through our shared inbox to streamline processing.

Thoughts?",Finance / Budget
Budget discussion needed,"Please route any finance-related questions through our shared inbox to streamline processing.

Thanks!",Finance / Budget
Budget discussion needed,"Please route any finance-related questions through our shared inbox to streamline processing.

Let me know if that works.",Finance / Budget
Invoice processing,"I've included a breakdown of all spend tied to the regional office' please flag anything missing.

Let me know if that works.",Finance / Budget
Budget discussion needed,We're nearing our Q3 close and I'd like to review any outstanding invoices before we finalize.,Finance / Budget
Final numbers attached,"We're nearing our Q3 close and I'd like to review any outstanding invoices before we finalize.

Let me know if that works.",Finance / Budget
Final numbers attached,"The attached sheet summarizes vendor payments made under project BLUE from June through September.

Let me know if that works.",Finance / Budget
Budget discussion needed,"I've included a breakdown of all spend tied to the regional office' please flag anything missing.

Let me know if that works.",Finance / Budget
Cost center alignment,"The attached sheet summarizes vendor payments made under project BLUE from June through September.

Thanks!",Finance / Budget
Final numbers attached,"I've included a breakdown of all spend tied to the regional office' please flag anything missing.

Thoughts?",Finance / Budget
Budget discussion needed,"I've included a breakdown of all spend tied to the regional office' please flag anything missing.

Talk soon.",Finance / Budget
Final numbers attached,"I've included a breakdown of all spend tied to the regional office' please flag anything missing.

Thanks!",Finance / Budget
Invoice processing,"Please route any finance-related questions through our shared inbox to streamline processing.

Thanks!",Finance / Budget
Final numbers attached,"There's a discrepancy between the approved budget and what's been submitted' can you double check line 7?

Thoughts?",Finance / Budget
Cost center alignment,The attached sheet summarizes vendor payments made under project BLUE from June through September.,Finance / Budget
Invoice processing,The attached sheet summarizes vendor payments made under project BLUE from June through September.,Finance / Budget
Finance clarification,I've included a breakdown of all spend tied to the regional office please flag anything missing.,Finance / Budget
Final numbers attached,"I've included a breakdown of all spend tied to the regional office please flag anything missing.

Let me know if that works.",Finance / Budget
Budget discussion needed,"We're nearing our Q3 close and I'd like to review any outstanding invoices before we finalize.

Let me know if that works.",Finance / Budget
Cost center alignment,"There's a discrepancy between the approved budget and what's been submitted can you double check line 7?

Let me know if that works.",Finance / Budget
Invoice processing,Please route any finance-related questions through our shared inbox to streamline processing.,Finance / Budget
Invoice processing,"We're nearing our Q3 close and I'd like to review any outstanding invoices before we finalize.

Thanks!",Finance / Budget
Invoice processing,I've included a breakdown of all spend tied to the regional office please flag anything missing.,Finance / Budget
Finance clarification,"Please route any finance-related questions through our shared inbox to streamline processing.

Thanks!",Finance / Budget
Budget discussion needed,Please route any finance-related questions through our shared inbox to streamline processing.,Finance / Budget
Budget discussion needed,"There's a discrepancy between the approved budget and what's been submitted can you double check line 7?

Thoughts?",Finance / Budget
Cost center alignment,"I've included a breakdown of all spend tied to the regional office please flag anything missing.

Talk soon.",Finance / Budget
Final numbers attached,"The attached sheet summarizes vendor payments made under project BLUE from June through September.

Talk soon.",Finance / Budget
Cost center alignment,Please route any finance-related questions through our shared inbox to streamline processing.,Finance / Budget
Cost center alignment,"We're nearing our Q3 close and I'd like to review any outstanding invoices before we finalize.

Let me know if that works.",Finance / Budget
Invoice processing,"The attached sheet summarizes vendor payments made under project BLUE from June through September.

Thanks!",Finance / Budget
Invoice processing,"We're nearing our Q3 close and I'd like to review any outstanding invoices before we finalize.

Thoughts?",Finance / Budget
Cost center alignment,I've included a breakdown of all spend tied to the regional office please flag anything missing.,Finance / Budget
Final numbers attached,"Please route any finance-related questions through our shared inbox to streamline processing.

Thanks!",Finance / Budget
Finance clarification,"I've included a breakdown of all spend tied to the regional office please flag anything missing.

Talk soon.",Finance / Budget
Cost center alignment,"I've included a breakdown of all spend tied to the regional office please flag anything missing.

Thanks!",Finance / Budget
Cost center alignment,"Please route any finance-related questions through our shared inbox to streamline processing.

Let me know if that works.",Finance / Budget
Final numbers attached,There's a discrepancy between the approved budget and what's been submitted can you double check line 7?,Finance / Budget
Final numbers attached,"There's a discrepancy between the approved budget and what's been submitted can you double check line 7?

Let me know if that works.",Finance / Budget
Invoice processing,There's a discrepancy between the approved budget and what's been submitted can you double check line 7?,Finance / Budget
Finance clarification,"The attached sheet summarizes vendor payments made under project BLUE from June through September.

Thanks!",Finance / Budget
Finance clarification,We're nearing our Q3 close and I'd like to review any outstanding invoices before we finalize.,Finance / Budget
Budget discussion needed,"Please route any finance-related questions through our shared inbox to streamline processing.

Thoughts?",Finance / Budget
Invoice processing,"I've included a breakdown of all spend tied to the regional office please flag anything missing.

Thanks!",Finance / Budget
Budget discussion needed,"The attached sheet summarizes vendor payments made under project BLUE from June through September.

Let me know if that works.",Finance / Budget
Cost center alignment,There's a discrepancy between the approved budget and what's been submitted can you double check line 7?,Finance / Budget
Budget discussion needed,There's a discrepancy between the approved budget and what's been submitted can you double check line 7?,Finance / Budget
Final numbers attached,We're nearing our Q3 close and I'd like to review any outstanding invoices before we finalize.,Finance / Budget
Final numbers attached,"We're nearing our Q3 close and I'd like to review any outstanding invoices before we finalize.

Talk soon.",Finance / Budget
Invoice processing,"There's a discrepancy between the approved budget and what's been submitted can you double check line 7?

Thoughts?",Finance / Budget
Finance clarification,"We're nearing our Q3 close and I'd like to review any outstanding invoices before we finalize.

Talk soon.",Finance / Budget
Invoice processing,"We're nearing our Q3 close and I'd like to review any outstanding invoices before we finalize.

Let me know if that works.",Finance / Budget
Final numbers attached,"The attached sheet summarizes vendor payments made under project BLUE from June through September.

Thanks!",Finance / Budget
Final numbers attached,"I've included a breakdown of all spend tied to the regional office please flag anything missing.

Talk soon.",Finance / Budget
Budget discussion needed,"I've included a breakdown of all spend tied to the regional office please flag anything missing.

Thoughts?",Finance / Budget
Final numbers attached,"Please route any finance-related questions through our shared inbox to streamline processing.

Thoughts?",Finance / Budget
Invoice processing,"I've included a breakdown of all spend tied to the regional office please flag anything missing.

Thoughts?",Finance / Budget
Budget discussion needed,"The attached sheet summarizes vendor payments made under project BLUE from June through September.

Talk soon.",Finance / Budget
Invoice processing,"There's a discrepancy between the approved budget and what's been submitted can you double check line 7?

Talk soon.",Finance / Budget
Finance clarification,There's a discrepancy between the approved budget and what's been submitted can you double check line 7?,Finance / Budget
Invoice processing,"Please route any finance-related questions through our shared inbox to streamline processing.

Talk soon.",Finance / Budget
Invoice processing,"The attached sheet summarizes vendor payments made under project BLUE from June through September.

Talk soon.",Finance / Budget
Cost center alignment,"There's a discrepancy between the approved budget and what's been submitted can you double check line 7?

Talk soon.",Finance / Budget
Finance clarification,"I've included a breakdown of all spend tied to the regional office please flag anything missing.

Thoughts?",Finance / Budget
Invoice processing,We're nearing our Q3 close and I'd like to review any outstanding invoices before we finalize.,Finance / Budget
Final numbers attached,"Please route any finance-related questions through our shared inbox to streamline processing.

Let me know if that works.",Finance / Budget
Cost center alignment,We're nearing our Q3 close and I'd like to review any outstanding invoices before we finalize.,Finance / Budget
Budget discussion needed,"The attached sheet summarizes vendor payments made under project BLUE from June through September.

Thanks!",Finance / Budget
Final numbers attached,"We're nearing our Q3 close and I'd like to review any outstanding invoices before we finalize.

Thanks!",Finance / Budget
Final numbers attached,"The attached sheet summarizes vendor payments made under project BLUE from June through September.

Thoughts?",Finance / Budget
Budget discussion needed,The attached sheet summarizes vendor payments made under project BLUE from June through September.,Finance / Budget
Budget discussion needed,I've included a breakdown of all spend tied to the regional office please flag anything missing.,Finance / Budget
Cost center alignment,"There's a discrepancy between the approved budget and what's been submitted can you double check line 7?

Thoughts?",Finance / Budget
Finance clarification,Please route any finance-related questions through our shared inbox to streamline processing.,Finance / Budget
Final numbers attached,Please route any finance-related questions through our shared inbox to streamline processing.,Finance / Budget
Cost center alignment,"Please route any finance-related questions through our shared inbox to streamline processing.

Thanks!",Finance / Budget
Cost center alignment,"We're nearing our Q3 close and I'd like to review any outstanding invoices before we finalize.

Thoughts?",Finance / Budget
Finance clarification,"Please route any finance-related questions through our shared inbox to streamline processing.

Let me know if that works.",Finance / Budget
Cost center alignment,"The attached sheet summarizes vendor payments made under project BLUE from June through September.

Thoughts?",Finance / Budget
Final numbers attached,I've included a breakdown of all spend tied to the regional office please flag anything missing.,Finance / Budget
Budget discussion needed,"I've included a breakdown of all spend tied to the regional office please flag anything missing.

Thanks!",Finance / Budget
Finance clarification,"There's a discrepancy between the approved budget and what's been submitted can you double check line 7?

Let me know if that works.",Finance / Budget
Finance clarification,The attached sheet summarizes vendor payments made under project BLUE from June through September.,Finance / Budget
Finance clarification,"The attached sheet summarizes vendor payments made under project BLUE from June through September.

Talk soon.",Finance / Budget
Time-off request,"Per the updated PTO policy, requests over 5 days must be routed through the system.

Let me know if that works.",HR / Personal
Update to HR policies,"Just submitted a vacation request in Workday please let me know if anything further is needed.

Talk soon.",HR / Personal
PTO approval needed,"The candidate is available Monday and Tuesday mornings next week. I've held a few slots.

Thoughts?",HR / Personal
Time-off request,"Just submitted a vacation request in Workday please let me know if anything further is needed.

Thanks!",HR / Personal
Update to HR policies,"Just submitted a vacation request in Workday please let me know if anything further is needed.

Thanks!",HR / Personal
Update to HR policies,"Per the updated PTO policy, requests over 5 days must be routed through the system.

Talk soon.",HR / Personal
Update to HR policies,"Can you confirm next steps for the onboarding checklist? I believe IT hasn't provisioned email yet.

Talk soon.",HR / Personal
Update to HR policies,"We received updated benefits information for 2024. Highlights include increased dental coverage and mental health support.

Talk soon.",HR / Personal
New hire onboarding,Can you confirm next steps for the onboarding checklist? I believe IT hasn't provisioned email yet.,HR / Personal
Candidate availability,Can you confirm next steps for the onboarding checklist? I believe IT hasn't provisioned email yet.,HR / Personal
Candidate availability,"Per the updated PTO policy, requests over 5 days must be routed through the system.",HR / Personal
Update to HR policies,"Per the updated PTO policy, requests over 5 days must be routed through the system.",HR / Personal
Time-off request,"Can you confirm next steps for the onboarding checklist? I believe IT hasn't provisioned email yet.

Let me know if that works.",HR / Personal
Update to HR policies,"Just submitted a vacation request in Workday please let me know if anything further is needed.

Thoughts?",HR / Personal
PTO approval needed,"The candidate is available Monday and Tuesday mornings next week. I've held a few slots.

Thanks!",HR / Personal
Time-off request,We received updated benefits information for 2024. Highlights include increased dental coverage and mental health support.,HR / Personal
New hire onboarding,"The candidate is available Monday and Tuesday mornings next week. I've held a few slots.

Let me know if that works.",HR / Personal
PTO approval needed,"The candidate is available Monday and Tuesday mornings next week. I've held a few slots.

Talk soon.",HR / Personal
PTO approval needed,"Per the updated PTO policy, requests over 5 days must be routed through the system.

Thanks!",HR / Personal
Update to HR policies,"The candidate is available Monday and Tuesday mornings next week. I've held a few slots.

Thoughts?",HR / Personal
New hire onboarding,"We received updated benefits information for 2024. Highlights include increased dental coverage and mental health support.

Thanks!",HR / Personal
PTO approval needed,"Per the updated PTO policy, requests over 5 days must be routed through the system.

Thoughts?",HR / Personal
New hire onboarding,The candidate is available Monday and Tuesday mornings next week. I've held a few slots.,HR / Personal
Time-off request,"The candidate is available Monday and Tuesday mornings next week. I've held a few slots.

Thoughts?",HR / Personal
PTO approval needed,Can you confirm next steps for the onboarding checklist? I believe IT hasn't provisioned email yet.,HR / Personal
Time-off request,Can you confirm next steps for the onboarding checklist? I believe IT hasn't provisioned email yet.,HR / Personal
Candidate availability,"Can you confirm next steps for the onboarding checklist? I believe IT hasn't provisioned email yet.

Thoughts?",HR / Personal
Update to HR policies,"Can you confirm next steps for the onboarding checklist? I believe IT hasn't provisioned email yet.

Thoughts?",HR / Personal
Time-off request,"We received updated benefits information for 2024. Highlights include increased dental coverage and mental health support.

Talk soon.",HR / Personal
New hire onboarding,"Per the updated PTO policy, requests over 5 days must be routed through the system.

Let me know if that works.",HR / Personal
Candidate availability,The candidate is available Monday and Tuesday mornings next week. I've held a few slots.,HR / Personal
Update to HR policies,"Per the updated PTO policy, requests over 5 days must be routed through the system.

Thanks!",HR / Personal
New hire onboarding,"Per the updated PTO policy, requests over 5 days must be routed through the system.",HR / Personal
Candidate availability,"We received updated benefits information for 2024. Highlights include increased dental coverage and mental health support.

Let me know if that works.",HR / Personal
PTO approval needed,"We received updated benefits information for 2024. Highlights include increased dental coverage and mental health support.

Thanks!",HR / Personal
Time-off request,"Per the updated PTO policy, requests over 5 days must be routed through the system.",HR / Personal
Time-off request,"The candidate is available Monday and Tuesday mornings next week. I've held a few slots.

Let me know if that works.",HR / Personal
Candidate availability,"The candidate is available Monday and Tuesday mornings next week. I've held a few slots.

Thanks!",HR / Personal
Update to HR policies,"We received updated benefits information for 2024. Highlights include increased dental coverage and mental health support.

Thanks!",HR / Personal
PTO approval needed,"Just submitted a vacation request in Workday please let me know if anything further is needed.

Let me know if that works.",HR / Personal
Candidate availability,"The candidate is available Monday and Tuesday mornings next week. I've held a few slots.

Let me know if that works.",HR / Personal
Update to HR policies,"The candidate is available Monday and Tuesday mornings next week. I've held a few slots.

Talk soon.",HR / Personal
Time-off request,"The candidate is available Monday and Tuesday mornings next week. I've held a few slots.

Talk soon.",HR / Personal
Update to HR policies,Just submitted a vacation request in Workday please let me know if anything further is needed.,HR / Personal
New hire onboarding,"We received updated benefits information for 2024. Highlights include increased dental coverage and mental health support.

Thoughts?",HR / Personal
Candidate availability,"The candidate is available Monday and Tuesday mornings next week. I've held a few slots.

Thoughts?",HR / Personal
PTO approval needed,"Can you confirm next steps for the onboarding checklist? I believe IT hasn't provisioned email yet.

Let me know if that works.",HR / Personal
New hire onboarding,"Just submitted a vacation request in Workday please let me know if anything further is needed.

Let me know if that works.",HR / Personal
PTO approval needed,We received updated benefits information for 2024. Highlights include increased dental coverage and mental health support.,HR / Personal
PTO approval needed,"We received updated benefits information for 2024. Highlights include increased dental coverage and mental health support.

Thoughts?",HR / Personal
Time-off request,The candidate is available Monday and Tuesday mornings next week. I've held a few slots.,HR / Personal
PTO approval needed,"Per the updated PTO policy, requests over 5 days must be routed through the system.

Talk soon.",HR / Personal
PTO approval needed,"Just submitted a vacation request in Workday please let me know if anything further is needed.

Thanks!",HR / Personal
New hire onboarding,"The candidate is available Monday and Tuesday mornings next week. I've held a few slots.

Talk soon.",HR / Personal
Candidate availability,"Just submitted a vacation request in Workday please let me know if anything further is needed.

Talk soon.",HR / Personal
Update to HR policies,The candidate is available Monday and Tuesday mornings next week. I've held a few slots.,HR / Personal
PTO approval needed,"We received updated benefits information for 2024. Highlights include increased dental coverage and mental health support.

Talk soon.",HR / Personal
Time-off request,"The candidate is available Monday and Tuesday mornings next week. I've held a few slots.

Thanks!",HR / Personal
Candidate availability,We received updated benefits information for 2024. Highlights include increased dental coverage and mental health support.,HR / Personal
PTO approval needed,"We received updated benefits information for 2024. Highlights include increased dental coverage and mental health support.

Let me know if that works.",HR / Personal
PTO approval needed,"Just submitted a vacation request in Workday please let me know if anything further is needed.

Thoughts?",HR / Personal
Candidate availability,"Can you confirm next steps for the onboarding checklist? I believe IT hasn't provisioned email yet.

Talk soon.",HR / Personal
New hire onboarding,"Can you confirm next steps for the onboarding checklist? I believe IT hasn't provisioned email yet.

Let me know if that works.",HR / Personal
Candidate availability,"We received updated benefits information for 2024. Highlights include increased dental coverage and mental health support.

Talk soon.",HR / Personal
New hire onboarding,"Per the updated PTO policy, requests over 5 days must be routed through the system.

Thoughts?",HR / Personal
Update to HR policies,"We received updated benefits information for 2024. Highlights include increased dental coverage and mental health support.

Thoughts?",HR / Personal
Candidate availability,Just submitted a vacation request in Workday please let me know if anything further is needed.,HR / Personal
New hire onboarding,"Just submitted a vacation request in Workday please let me know if anything further is needed.

Thanks!",HR / Personal
Update to HR policies,"Per the updated PTO policy, requests over 5 days must be routed through the system.

Thoughts?",HR / Personal
