Subject_new,body_clean,manual_label,topic_embed,topic_label
,forwarded mark taylorhouect mark taylor pm shonnie danielhouectect shawna flynnhouectect barbara n grayhouectect lisa mellencamphouectect lance schulerlegalhouectect lou stolerhouectect stuart zismanhouectect cc pat radfordhouectect taffy milliganhouectect linda j simmonshouectect dina snowcorpenronenron subject just quick note warning possible phase office construction process begin just week means finally time new offices taffy milligan submitting request friday jan details directly assistants help order boxes arrange,Legal / Compliance,0,Meeting Feedback
FW RULING FOR HEARINGS ON AND,forwarded jeff dasovichnaenron jmb jbennettgmssrcom pm jdasovicenroncom jdasovicenroncom msmithenroncom msmithenroncom cc subject fw ruling hearings original message minkin angela k sent friday december pm subject ruling hearings parties attached promised ruling provides procedural guidance hearings ruling posted web site quickly possible thank patience hope moments enjoy holidays angela minkin administrative law judge pdoc,Other / Uncategorized,0,Meeting Feedback
Organizational Changes,support enrons continuing efforts increase return inves ted capital direct resources highest return businesses david haug chairman ceo enron calme jim hughes president coo enr apachi joe kishkill managing director enron south america frank stabler managing director enron calme join mark metts corporate wide effort help monetize enrons assets david help transition calme business activities parts enron whi le working mark asset monetization projects david continue executive vice president enron corp member enrons execu tive committee cliff baxter oversee effort consistent changes calme group divided follows enron global lng enrons caribbean basin activities new enron global markets egm group headed mike mcconnell rick bergsieker presidentcoo lng continue role dual role presidentcoo enron middle east join egm shawn cumberland president coo caribbean basin unit executive team carry transition process caribbean business unit s people businesses egm management colombia venezuela businesses transfer enron south america lngrelat ed activities egm described ees related initiatives people transferred units various international businesses participate usual th e upcoming budget process new alignment continue meet plan targets rd th quarters concurrently consolidating trading merchant activities japan australia enron europe joe hirl paul quilkey repo rt enron europes office chairman congratulate david haug rebecca mcdonald proposing realignments agree maximize financial intellectual capital enron coming weeks specific assignments reporting relationships determined communicated,Finance / Budget,0,Meeting Feedback
Enron Forward,ryan heres redraft lehman cap clint want discuss sara forwarded sara shackletonhouect franz philip pfranzlehmancom pm clintfreelandenroncom clintfreelandenroncom sarashackletonenroncom sarashackletonenroncom cc rosica paul prosicalehmancom karna angie akarnalehmancom franz philip pfranzlehmancom subject enron forward clint sara enclosed revised confirm review blackline version clean version paul rosica enronforwardblacklinedoc enronforwardcleandoc enjoy weekend regards phil phil franz transaction managementequity derivatives lehman brothers pfranzlehmancom message intended personal confidential use designated recipients named intended recipient message notified review dissemination distribution copying message strictly prohibited communication information purposes regarded offer sell solicitation offer buy financial product official confirmation transaction official statement lehman brothers subsidiaries affiliates email transmission guaranteed secure errorfree represent information complete accurate relied information subject change notice enronforwardblacklinedoc enronforwardcleandoc,Request / Action Item,0,Meeting Feedback
Robert Ray v Armstrong World Industries,database forwarded richard b sandershouect pm bonnie whiteenronenronxgate pm rob colehouectect cc lisa robichauxenronenronxgate andrew edisonnaenronenron richard b sandershouectect subject robert ray v armstrong world industries asbestos case hpl recently added defendant spoke scott wert plaintiffs counsel today hpl sued plaintiff larry don williams called info hpl sued alleged dates exposure wert advised hpl added plaintiff larry don williams allegedly exposed asbestos working thomas construction company hpl facility berkclair texas told williams allegedly exposed houston natural gas pipeline facility victoria texas served houston natural gas pipeline wert did information database williams employer time period rob previously discussed assume check determine policies insurance cover claims time periods answer date matter monday march plaintiffs counsel said couple extra weeks like send rule agreement secure extra time investigate insurance coverage,Meeting / Scheduling,0,Meeting Feedback
SWPC Transfer,unreasonably withholding consent agreeing assignment bit different mind enron north america corp mitch robinson pm kay manncorpenronenron cc don millerhouectect stuart zismanhouectect subject swpc transfer saying thing kay mann pm mitch robinsoncorpenronenron cc don millerhouectect stuart zismanhouectect subject swpc transfer believe swpc agreed assignment llcs subsequent transfer equity affect terms contracts including warranties enron north america corp mitch robinson pm don millerhouectect cc stuart zismanhouectect kay manncorpenronenron subject swpc transfer don forward allegheny order facilitate smooth transfer assets close turbine purchase contracts provide allegheny unused generation capability gleason entering agreement siemens westinghouse power corp swpc effect gleason wheatland facilities following way increase permissible power level gleason turbines mw mw specifically swpc allow gleason units maximum operating capability kw reset control curves accordingly swpc agree operation gleason units including kw normal operating parameters operation including level invalidate warranty swpc agreed make change week authorization swpc agrees gleason wheatland contracts associated warranties assigned limited liability companies owned enron entity pursuant terms conditions gleason wheatland contracts swpcs consent assignments unreasonably withheld swpc honor warranty claims currently outstanding asserted future contract assignee assuming assignment accordance terms conditions gleason wheatland contracts swpc agrees assist enron providing technical information including redacted copies purchase contracts applicable technical bulletins allegheny information limited information currently available enron technical nature believe features significantly beneficial allegheny ask allegheny feedback entering agreement end week regards mitch robinson,Meeting / Scheduling,0,Meeting Feedback
SBX SBX,forwarded steven j keannaenron pm scott govenar sgovenargovadvcom hedy govenar hgovenargovadvcom mike day mdaygmssrcom bev hansen bhansenlhomcom jeff dasovich jdasovicenroncom susan j mara smaraenroncom joseph alamo jalamoenroncom paul kaufman paulkaufmanenroncom michael mcdonald michaelmcdonaldenroncom david parquet davidparquetenroncom rick johnson rickjohnsonenroncom marcie milner mmilnerenroncom sandra mccubbin sandramccubbinenroncom tim belden timbeldenenroncom rick shapiro rshapiroenroncom jim steffes jamesdsteffesenroncom alan comnes acomnesenroncom chris calger ccalgerenroncom mary hain maryhainenroncom joe hartsoe joehartsoeenroncom donna fulton donnafultonenroncom steven kean stevenjkeanenroncom karen denne kdenneenroncom beverly aden beverlyadenenroncom votaw billvotawenroncom carol moffett carolmoffettenroncom debora whitehead deborawhiteheadenroncom dennis benevides dennisbenevidesenroncom don black donblackenroncom dorothy youngblood dorothyyoungbloodenroncom dblackenroncom dblackenroncom emelvinenroncom emelvinenroncom ehughesenroncom ehughesenroncom gweissenroncom gweissenroncom gsavageenroncom gsavageenroncom harrykingerskienroncom harrykingerskienroncom kgustafsenroncom kgustafsenroncom mike d smith msmithenroncom ryangenroncom ryangenroncom sgahnenroncom sgahnenroncom vsharpenroncom vsharpenroncom wcurryenroncom wcurryenroncom williamsbradfordenroncom williamsbradfordenroncom cc subject sbx sbx senate did sbx sbx prior adjourning long weekend time senate meet tuesday attached recent versions bills  senpdf  senpdf,HR / Personal,0,Meeting Feedback
MDEA,havent heard david scott heard marvin bob meeting confirmed monday im conference landfill yikes kay,Meeting / Scheduling,0,Meeting Feedback
Photos,forwarded mark taylorhouect pm mark taylor pm john eleanor taylor jandetayloremailmsncom cc subject photos tried send juno address came just case home received following pr department minutes ago sure watch chairman ceo ken lay fox news today appear world neil cavuto pm cst discuss enrons yearend financial operating highlights forwarded mark taylorhouect pm mark taylor pm mzeleanorjunocom eleanor f taylor cc subject photos received attachment sent christmas sure worked recieve took roll film developed special having photos returned disk prints christmas pictures send right away turns old roll,HR / Personal,0,Meeting Feedback
,original message mann kay sent thursday april pm fairley david rorschach reagan subject gentlemen points require commercial et al input intend include gas transactions calculation profit buying electricity serve load paid costs monthly accordance master gas master power agreements copies mdea jim homco questioned buy fuel oil want leave fuel deal ive added definition scheduling equipment costs used agreement limiting provision scheduling equipment equipment listed exhibit guaranteed monthly fee discuss b covers equipment costs estimate spend need able backto marvin money rick broussard reviewing equipment schedule completeness financial security required ask ed sacks attaching marketing strategy tradingrisk policy establishing time line pull gobys fronterra contract table contents exhibit deal possible cost establishing control area absorbing additional infrastructure costs control area contemplated agreementwe evaluate recommend want complete control area cost exhibits updated latest version today kay,Meeting / Scheduling,0,Meeting Feedback
Your funding code,send number gave purposes getting check,Other / Uncategorized,0,Meeting Feedback
Kent Kopetzy,didnt exact email address kent guessed kkopetzyutilicorpcom just returned undeliverable forward info,Project Update,0,Meeting Feedback
meagans gift,amanda camp sunday saturday june meagan leaves sunday june return saturday june decide family vacation week june july july meagan starts bearkadette practices school start august days bearkadette camp july looks girl point summer unless amanda schedules austin visit meagans stints camp let know want talk dates white cara cwhitetexasustacom sallybeckenroncom sallybeckenroncom cc subject meagans gift sally great,Meeting / Scheduling,0,Meeting Feedback
Asset Marketing,forwarded kay manncorpenron pm enron americas office chairman enron americas office chairman pm sent enron announcements ena employees cc subject asset marketing pleased announce creation new group asset marketing enron americas asset marketing group responsibility asset divestment function enron americas work generation investments selected portfolio acquisitions managing power origination funding requirements treasury don miller head asset marketing group report directly office chair enron americas joining dons group stuart zisman stuart ena legal having recently worked sale enas peaker plants don join congratulating don stuart new roles,Legal / Compliance,0,Meeting Feedback
Update on UT Enron Activities My Conversation with Rick Causey,forwarded vince j kaminskihouect pm ehud ronn eronnmailutexasedu vkaminsenroncom cc subject update ut enron activities conversation rick causey vince good morning know thur enron honored years recipients enron mba excellence fund scholars dinner austin addition recipients business school dean colleagues enron attendees included sally beck cindy justice karen marshall newlyappointed coordinator higher education initiatives enron community relations dept rick causey write time advise occasion discuss current enronut issues rick spring conference participation jeffrey k skilling ii ut participation enrontraining activities conversation rick thur followed discussion email morn touched topics respect wrote rick morning ut center energy finance education research cefer planning practitionerindustry conference spring late feb early march discuss topics risk management deregulation real options internationalglobalization conference kick dinnerkeynote address thur evening continue day fri discussions regarding conference timing structure participation content ricks agreement discussion thur todays email asked rick extend invitation jeff skilling keynote speaker thur evening dinner ii respect second topic rick discussed ut partcipation enron corp internal training incoming enron corp analysts associates consequently emailed rick morning specific set issues valuation risk management energy markets ut colleagues covered public customized exec ed settings pleased customize presentation enron fyi enclosing copy said topics end email look forward seeing soon ut visit best ehud training program valuation risk management energy markets target audience associates analysts traders marketingsales risk managers financial analysts program objectives understanding physical financial u s markets electricity natural gas understanding structuring reverse engineering valuation exchangetraded otc energy derivatives including exotic options structured products spread basis products promoting common language trading marketing personnel regarding valuation hedging structured products riskmanagement program contents electricity problems pricing spot markets forward markets trading basis fixedprice volatility markets characteristics participants ii valuationstructuringhedging fundamentals forwards futures contracts forward contracts definition payoff diagram pricing arbitrage futures vs forwards commodity futures swaps constructing forward curves contrast price forecast using spark spread incorporating regional bases introduction option pricing payoffs putcall parity binomial model blackscholes formula option sensitivities greeks delta gamma uniqueness energy derivatives term structure volatility convenience yield seasonality basis estimating volatility energy markets estimating volatility financial markets hourly vs daily vols historical implied vols characterizing volatility surface time strike design valuation structured products commodity markets valuation european options energy markets average options oil futures contracts spread basis products swing options power markets weather derivatives riskmanagement motivation structured trades valuation real options valuation power plant gas field valueatrisk multifactor models repowering option advanced topics qualified audiences relationship forward prices expected spot prices importance hedging volatility changes consistent method estimating hourly daily monthly term structures volatility practical alternatives vegahedging applying options theory valuation power plants valuation swing options ruthless nonruthless exercise ehud ronn professor finance jack s josey professor energy studies director center energy finance education research mccombs school business university texas austin austin tx voice fax internet eronnmailutexasedu,Meeting / Scheduling,0,Meeting Feedback
Domain Transfer Agreement,michael guys meeting risk management solutions tomorrow morning scott brown ve talking agreement afternoon heard john sherriff carol,Meeting / Scheduling,0,Meeting Feedback
Frontier Unit Outage for,frontier forced bring unit ash problem needed work generator starting frontier producing mw instead preschedule mw picked operating reserves remainder schedule sold unit contingent cut schedule mw starting till bonnie eweb agreed curtailment tag number deal questions regards bert meyers,Meeting / Scheduling,0,Meeting Feedback
To Resolve Your CQG problems,workstation shut cqg hard drive letter cqg installed c d using computer explorer cqg folder open x folder open private folder private folder sub folders log page temp delete temp folder right clicking left clicking delete restart cqg able prices youve missing regarding x update x messages running different clientx serverx versions enron time submitted fix taken care soon enron servers restarted tonight hope upgrading server client versions couple weeks contact questions theres,Finance / Budget,0,Meeting Feedback
Fwd Al Gore By the Numbers,forwarded eric basshouect m kb daphnecoyahoocom jasonbasscompaqcom ericbassenroncom cc subject fwd al gore numbers rnceleadermailechampionscom wrote rnceleadermailechampionscom daphnecoyahoocom subject al gore numbers date sun oct pdt dear kathy bass al gore habit exaggerating record numbers tell real truth record education healthcare taxes al gores education plans tax deduction al gore says received students want college tax deduction reality students working way college getting tax credit pay income taxes lowincome households benefit gores education plan families making benefit upper income families ineligible deductions credits room board books supplies travel education plan identical failed clinton white house al gores program healthca access fee year obtain prescription drug coverage gore plan new regulatory mandates created gore medicare plan new regulations dealing prescription drugs age opportunity buy government hmo year wait gores plan implemented times price bushs plan create government bureaucrats vice president taxes separate tax increases new user fees gore proposed budget tax burden increased years child tax credit included previous clintongore budgets taxpayers tax relief gores plan couples pay taxes gore opposed marriage penalty tax cut cents tax increase gallon gas gores tiebreaking vote important numbers days election pass friends,Finance / Budget,0,Meeting Feedback
your nd round pick,called bargaining giving good trying figure willing phillip m love pm eric basshouectect cc subject nd round pick explain good,Meeting / Scheduling,0,Meeting Feedback
FERC order denying SPPEntergy RTO Summary,ferc order issued rejecting sppentergys rto commissioners generally displeased spp entergys lack o f substantive work complying commissions previous orders failure sufficiently discuss feasibility broader rto chair herbert said spp read commissions order ta ken seriously issues possible rehearing commission declined approve spps scope configuration becau se spp members remain uncommitted rto decision transfer operational control sppentergy relationship remains somewhat undefined commission wants evidence effort s form rtos combine current rto proposals entergy spp fi le report addressing scope issue o bulk power sales purchase figures indicate natural markets exte nd spp rto borders significant sales purchases spp serc midwest companies lesser extent o expect existing tos file section applications transfer control transmission spp o mou clarified demonstrate minimum requirements rto operational authority atc calculation planningexpansion met approves entergys proposal managing member controls vo ting rights transco approves entergys board approval process sta tes entergy control selection committees seven members allows southwestern public service company satisfy merger obligati joining spp instead miso commission did address epmis motion condition market based rate authority rto participation,Request / Action Item,0,Meeting Feedback
West Curves,surename spot original message rabon chance sent tuesday february pm scott susan m subject west curves want meet morning original message scott susan m sent tuesday february pm rabon chance subject west curves days original message rabon chance sent tuesday february pm scott susan m subject west curves needing points needing reconstucted need just ones positions pwc currently making files point stored need touch base starting let know,Other / Uncategorized,0,Meeting Feedback
Data Migration Protocol,yes correct michelle original message rub jenny sent wednesday february piper greg parsons andrew grant david cc cash michelle daniels eddy kitchen louise subject data migration protocol michelle correct wrong body email distributed yesterday afternoon says form sent linda guinn believe legal department enron assume person track report submitted certification letter jr original message piper greg sent wednesday february rub jenny parsons andrew grant david cc cash michelle daniels eddy kitchen louise subject data migration protocol ok individual responsible making sure plus people read pages protocol verify collect signed certification new ubs employee friday collect enrons copy hold coordinating ubs directly gp original message rub jenny sent wednesday february piper greg parsons andrew grant david cc cash michelle subject fw data migration protocol original message ubsw energy general announcements sent tuesday february pm dlubsw energy houston subject data migration protocol enron employees transferring ubs warburg energy affiliates terms various agreements certain enron entities ubs ag certain enron data documents provided ubs ensure compliance agreements enrons document retention policy directives various investigative agencies attached protocol regarding process migration information data ubs developed review protocol carefully complete attached certification return attachments linda guinn eb later february questions matter directed michelle cash francisco pintoleite protocol document data copy instructions file protocol regarding data document migrationdoc certification document file certificationdoc thank assistance making transition ubs success,Legal / Compliance,0,Meeting Feedback
LES and OPPD Short Positions,attached update les oppd short positions numbers change contact desk regarding deal ben update model information start process capturing different segments add value project hear les regarding proposal oscar sent yesterday start plugging pieces come sound value deal let known questions,Project Update,0,Meeting Feedback
EPE vs MAE Graph,confirm inferences southeast curve provided mae official capacity reference press release publication assume southeast curve predicts maximum marginal cost expected dispatched period correct peak demand periods prediction intraday basis graph predict epes cost southeast curve epect dispatch felipe ospina pm rob g gaynaenronenron richard lammerssaenronenron tracee bersaniect christiaan huizerenrondevelopmentenrondevelopment laine powellenrondevelopmentenrondevelopment cc subject epe vs mae graph discussed conference graph mae forward curve vs epe marginal cost provided christiaan assumes epes marginal cost remains rmwh aug think case gas arrives plant increases mw forward curve dec impact dry season beginning mid year sept laine suggesting,Finance / Budget,0,Meeting Feedback
